Products,Reviews,Ratings
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,3
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",4
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",4
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",4
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,4
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",4
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,4
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,4
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,3
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",4
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",3
Phone,Good product ❤️ but camera quality is low 😌,3
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",4
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",4
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",3
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",3
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",4
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,4
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",3
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",3
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,4
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,4
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,3
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",3
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,3
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",4
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",4
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",4
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,4
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",4
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,4
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,4
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,3
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",4
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",3
Phone,Good product ❤️ but camera quality is low 😌,3
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",4
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",4
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",3
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",3
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",4
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,4
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",3
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",3
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,4
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,4
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,3
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",3
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,3
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",4
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,3
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",4
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",5
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",4
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,3
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,4
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,5
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",4
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",3
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,4
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",5
Phone,Good product ❤️ but camera quality is low 😌,4
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",3
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",5
Phone,It was an amazing phone at this price range,4
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
Phone,"I switch to ios from android after 10 years so this review might help for migrators

It’s been a month using the iPhone13 and this was my experience

1. Desi...
Read full review",5
Phone,"Camera is not all that's great. Video quality is good. Battery is great. Performance is great. Display is great. I don't like ios. Android is beast. My iqoo ...
Read full review",5
Phone,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved...
Read full review",4
Phone,Good product ❤️ but camera quality is low 😌,3
Phone,"Review After Using 5 Days:

1. SD 750 works very well and give a very good performance
2. Fingerprint Sensor is very quick and responsive
3. Camera is not up...
Read full review",3
Phone,"Phone is absolutely working well and performance is good. Phone not getting hot while charging and battery lasts about 36 hrs. Overall good phone in this bud...
Read full review",5
Phone,"Nice phone , camera is not so good as expected.look wise superb as compared to this range of phone. At this price range phone is so good",4
Phone,It was an amazing phone at this price range,5
Phone,Good phone very nice working and good performance nice look,5
Phone,Mobile cameras are very very bad and charger local companie and to much heating charge cable also very bad ... mobile average ..... charge waist .....,5
